Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
12,Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,11.6,0,0,0,22,12,5,4,2,4,1,0,0,47,39,28,58.2,Matches
13,Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3,Matches
14,Gennaro Acampora,ITA,"MF,FW",Spezia,Serie A,26,1994,4.9,2,0,0,10,12,1,7,4,7,0,0,0,49,0,9,0.0,Matches
15,Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,31.3,9,1,1,31,25,2,26,62,38,0,0,0,367,77,26,74.8,Matches
16,Ragnar Ache,GER,"FW,DF",Eint Frankfurt,Bundesliga,22,1998,1.1,1,0,0,5,1,1,0,0,0,0,0,0,7,13,4,76.5,Matches
17,Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,25.9,5,0,0,45,33,2,81,25,47,0,2,0,215,19,31,38.0,Matches
18,Che Adams,SCO,FW,Southampton,Premier League,24,1996,29.6,1,0,0,29,55,19,13,11,17,0,0,0,119,47,141,25.0,Matches
19,Tyler Adams,USA,"DF,MF",RB Leipzig,Bundesliga,21,1999,20.6,3,0,0,29,29,2,12,31,31,0,0,0,227,25,19,56.8,Matches
20,Sargis Adamyan,ARM,"FW,MF",Hoffenheim,Bundesliga,27,1993,5.3,2,0,0,5,8,3,6,7,5,0,0,0,29,9,16,36.0,Matches
21,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,1997,32.8,1,0,0,16,6,2,3,55,26,0,1,1,278,100,39,71.9,Matches
22,Bobby Adekanye,NED,"FW,MF",Cádiz,La Liga,21,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0.0,Matches
23,Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,2000,26.9,6,0,0,39,37,0,30,41,62,0,0,0,216,30,25,54.5,Matches
24,Andrea Adorante,ITA,FW,Parma,Serie A,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
25,Adrián,ESP,GK,Liverpool,Premier League,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,Matches
26,Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,24,1996,17.3,1,0,0,24,24,1,22,34,16,0,0,0,126,25,24,51.0,Matches
27,Lucien Agoume,FRA,MF,Spezia,Serie A,18,2002,8.9,2,0,0,16,9,0,0,20,11,0,0,0,104,10,6,62.5,Matches
28,Felix Agu,GER,DF,Werder Bremen,Bundesliga,20,1999,7.8,0,0,0,5,26,1,10,21,16,0,0,0,65,12,14,46.2,Matches
29,Kevin Agudelo,COL,FW,Spezia,Serie A,21,1998,15.1,4,0,0,20,32,2,10,5,30,0,0,0,66,20,36,35.7,Matches
30,Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,1996,35.0,6,0,0,22,30,2,1,39,37,0,1,0,331,128,57,69.2,Matches
31,Sergio Agüero,ARG,"FW,MF",Manchester City,Premier League,32,1988,6.2,0,0,0,2,7,1,2,4,0,0,0,0,18,2,6,25.0,Matches
32,Ruben Aguilar,FRA,"DF,FW",Monaco,Ligue 1,27,1993,24.7,6,0,0,40,36,1,100,37,48,1,0,0,251,50,38,56.8,Matches
33,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,2.8,2,1,0,6,9,0,1,4,1,0,1,0,22,1,2,33.3,Matches
34,Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,10.0,0,0,0,16,15,1,4,4,19,0,1,0,67,5,11,31.3,Matches
35,Cheikh Ahmadou Dieng,SEN,FW,Marseille,Ligue 1,20,2000,1.4,0,0,0,2,2,3,1,1,2,1,0,0,5,1,5,16.7,Matches
36,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,1994,23.8,9,0,0,50,33,0,5,54,35,0,0,0,237,43,30,58.9,Matches
37,Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,1994,0.4,0,0,0,0,1,0,0,2,0,0,0,0,3,1,1,50.0,Matches
38,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,1995,14.3,3,0,0,13,14,1,1,16,17,0,0,0,153,49,42,53.8,Matches
39,Ola Aina,NGA,DF,Fulham,Premier League,23,1996,29.6,3,0,0,31,26,2,42,52,25,0,0,0,251,33,43,43.4,Matches
40,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19,2001,15.6,1,0,0,16,19,1,30,15,16,0,1,0,118,14,21,40.0,Matches
41,Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,2001,2.1,0,0,0,2,3,0,4,1,2,0,0,0,12,2,4,33.3,Matches
42,Semi Ajayi,NGA,DF,West Brom,Premier League,26,1993,30.9,3,1,0,28,4,1,6,41,42,0,2,0,264,85,46,64.9,Matches
43,Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,33.0,5,0,0,39,49,13,33,12,16,1,0,0,121,168,139,54.7,Matches
44,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,26.1,4,0,0,22,18,0,0,38,30,1,1,0,242,52,38,57.8,Matches
45,Carlos Akapo,EQG,DF,Cádiz,La Liga,27,1993,9.6,3,1,1,10,3,0,16,13,13,0,0,0,80,17,6,73.9,Matches
46,Marley Aké,FRA,FW,Marseille,Ligue 1,19,2001,1.6,0,0,0,6,5,0,1,1,0,0,0,0,7,4,6,40.0,Matches
47,Nathan Aké,NED,DF,Manchester City,Premier League,25,1995,8.9,4,0,0,8,5,0,0,6,6,0,1,0,80,30,17,63.8,Matches
48,Paul Akouokou,CIV,MF,Betis,La Liga,22,1997,4.2,5,1,1,11,2,0,2,6,8,0,0,0,37,8,8,50.0,Matches
49,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,1992,11.7,9,0,0,31,12,0,1,19,28,0,0,0,92,9,9,50.0,Matches
50,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,1995,13.2,1,0,0,15,14,0,7,10,12,0,0,0,108,23,21,52.3,Matches
51,David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,28,1992,29.7,4,0,0,19,10,0,29,36,30,0,0,0,320,24,26,48.0,Matches
52,Sofiane Alakouch,FRA,DF,Nîmes,Ligue 1,22,1998,16.7,4,0,0,25,26,1,15,34,32,1,1,0,132,10,15,40.0,Matches
53,Jony Álamo,ESP,MF,Elche,La Liga,18,2001,0.8,0,0,0,0,2,0,0,0,1,0,0,0,7,0,1,0.0,Matches
54,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,1992,13.8,2,0,0,18,17,12,0,3,6,0,0,0,50,34,76,30.9,Matches
55,Jordi Alba,ESP,DF,Barcelona,La Liga,31,1989,33.6,9,0,0,21,15,10,113,43,24,0,0,1,295,7,14,33.3,Matches
56,Luis Alberto,ESP,MF,Lazio,Serie A,27,1992,29.1,5,0,0,20,36,2,37,21,32,0,0,0,257,9,19,32.1,Matches
57,Raúl Albiol,ESP,DF,Villarreal,La Liga,34,1985,34.6,7,0,0,13,17,1,3,23,21,0,1,0,306,65,47,58.0,Matches
58,Marc Albrighton,ENG,"DF,FW",Leicester City,Premier League,30,1989,19.4,2,0,0,9,20,4,73,28,31,0,0,0,188,15,32,31.9,Matches
59,Paco Alcácer,ESP,FW,Villarreal,La Liga,26,1993,17.2,0,0,0,7,8,18,6,7,4,0,0,0,43,9,47,16.1,Matches
60,Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,1989,10.1,2,0,0,12,5,1,0,22,7,0,0,1,55,19,17,52.8,Matches
61,Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,1991,20.6,4,0,0,49,25,0,4,42,43,0,1,0,236,34,23,59.6,Matches
62,Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,1991,24.1,10,0,0,47,44,0,6,29,37,0,0,0,287,55,55,50.0,Matches
63,Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,1996,14.4,2,0,0,22,6,0,2,14,13,0,0,0,132,35,27,56.5,Matches
64,Toby Alderweireld,BEL,DF,Tottenham,Premier League,31,1989,24.9,2,0,0,17,3,0,1,15,18,0,1,1,201,54,39,58.1,Matches
65,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,25,1995,9.2,5,0,0,29,22,5,46,2,15,0,0,0,59,16,9,64.0,Matches
66,Carles Aleñá,ESP,MF,Barcelona,La Liga,22,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
67,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,22,1998,15.2,1,0,0,20,26,0,24,7,8,0,0,0,119,13,37,26.0,Matches
68,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,Matches
69,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,1998,33.7,2,0,0,21,9,5,182,49,36,0,1,0,336,8,28,22.2,Matches
70,Alfon,ESP,MF,Celta Vigo,La Liga,21,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0.0,Matches
71,Mohamed Ali Cho,FRA,"FW,MF",Angers,Ligue 1,16,2004,3.9,1,0,0,8,8,0,9,3,8,0,0,0,23,6,11,35.3,Matches
72,Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,27.3,7,0,0,39,42,6,59,36,42,0,2,0,248,43,43,50.0,Matches
73,Rachid Alioui,MAR,FW,Angers,Ligue 1,28,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0,Matches
74,Alisson,BRA,GK,Liverpool,Premier League,27,1992,33.0,1,0,0,1,5,0,0,0,0,0,1,0,170,0,1,0.0,Matches
75,Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12.0,2,0,0,2,1,0,0,0,0,0,1,1,75,0,0,0.0,Matches
76,Allan,BRA,MF,Everton,Premier League,29,1991,22.8,6,0,0,37,30,0,3,23,54,0,0,0,221,6,13,31.6,Matches
77,Dele Alli,ENG,MF,Tottenham,Premier League,24,1996,6.9,0,0,0,10,12,1,7,10,15,0,0,0,66,10,13,43.5,Matches
78,Miguel Almirón,PAR,"MF,FW",Newcastle Utd,Premier League,26,1994,27.0,3,0,0,18,39,6,29,27,29,0,0,0,189,8,20,28.6,Matches
79,Marcos Alonso,ESP,DF,Chelsea,Premier League,29,1990,10.7,2,0,0,13,12,2,13,11,8,0,0,0,86,27,19,58.7,Matches
80,Sergio Álvarez,ESP,"MF,DF",Eibar,La Liga,28,1992,17.4,3,0,0,38,17,0,6,13,23,0,0,0,222,42,46,47.7,Matches
81,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,1995,21.6,6,0,0,20,17,1,2,39,19,0,0,0,212,76,44,63.3,Matches
82,Bruno Alves,POR,DF,Parma,Serie A,38,1981,18.1,3,0,0,20,9,1,7,15,6,0,0,0,162,45,7,86.5,Matches
83,Steven Alzate,COL,"MF,DF",Brighton,Premier League,21,1998,10.0,2,0,0,20,7,1,2,7,15,0,0,0,68,6,14,30.0,Matches
84,Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,1993,16.7,6,0,0,34,6,0,3,29,30,0,0,0,145,24,16,60.0,Matches
85,Romain Amalfitano,FRA,"FW,DF",Dijon,Ligue 1,30,1989,1.3,0,0,0,2,1,0,4,1,1,0,0,0,9,1,1,50.0,Matches
86,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
87,Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,8.0,3,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3,Matches
88,Jordan Amavi,FRA,DF,Marseille,Ligue 1,26,1994,9.0,3,1,0,12,14,1,9,13,12,1,0,0,85,22,12,64.7,Matches
89,Thierry Ambrose,FRA,FW,Metz,Ligue 1,23,1997,8.4,4,0,0,23,9,3,14,3,5,0,0,0,46,21,26,44.7,Matches
90,Wisdom Amey,ITA,DF,Bologna,Serie A,14,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
91,Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,1996,21.0,5,0,0,22,26,4,22,19,13,0,0,0,159,6,25,19.4,Matches
92,Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,Premier League,19,2000,23.2,3,0,0,25,25,1,11,39,36,0,1,1,220,66,30,68.8,Matches
93,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23,1996,27.1,7,0,0,59,44,0,10,21,42,0,0,0,256,16,36,30.8,Matches
94,Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,1989,8.9,1,0,0,13,6,0,2,9,15,1,0,0,86,21,32,39.6,Matches
95,Joachim Andersen,DEN,DF,Fulham,Premier League,24,1996,30.3,7,1,0,39,15,1,4,51,26,0,1,0,335,118,40,74.7,Matches
96,Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,1996,2.1,1,0,0,5,2,0,0,0,1,0,0,0,23,6,0,100.0,Matches
97,Djavan Anderson,NED,DF,Lazio,Serie A,25,1995,0.8,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,100.0,Matches
98,Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
99,Felipe Anderson,BRA,"FW,MF",West Ham,Premier League,27,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,Matches
100,Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,1991,12.5,1,0,0,21,7,7,4,3,2,1,0,0,52,81,68,54.4,Matches
101,Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,Matches
102,Benjamin André,FRA,MF,Lille,Ligue 1,29,1990,32.1,10,0,0,70,55,0,12,61,87,0,0,0,401,92,70,56.8,Matches
103,Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,1994,28.1,5,1,0,50,35,2,8,58,40,0,0,1,361,52,28,65.0,Matches
104,Victorien Angban,CIV,MF,Metz,Ligue 1,23,1996,18.6,5,0,0,29,29,0,6,13,30,0,0,0,190,10,21,32.3,Matches
105,Ángel,ESP,GK,Granada,La Liga,18,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,Matches
106,Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,1998,1.5,0,0,0,2,1,1,0,0,1,0,0,0,18,10,7,58.8,Matches
107,José Ángel,ESP,DF,Eibar,La Liga,30,1989,10.0,3,0,0,8,4,0,37,12,10,0,0,0,132,17,18,48.6,Matches
108,Angeliño,ESP,"DF,FW",RB Leipzig,Bundesliga,23,1997,24.0,2,0,0,22,26,7,112,32,18,0,0,0,190,17,30,36.2,Matches
109,Davide Angelo Ghislandi,ITA,DF,Atalanta,Serie A,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
110,Philip Ankhrah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,Matches
111,Cristian Ansaldi,ARG,DF,Torino,Serie A,33,1986,21.6,1,0,0,24,22,0,133,27,26,0,1,0,150,7,16,30.4,Matches
112,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,1996,30.1,3,0,0,24,34,1,8,50,23,0,1,0,344,64,48,57.1,Matches
113,José Antonio Miranda,EQG,"MF,DF",Getafe,La Liga,22,1998,0.3,1,0,0,2,2,0,0,1,0,0,0,0,4,2,0,100.0,Matches
114,Michail Antonio,ENG,FW,West Ham,Premier League,30,1990,21.9,3,0,0,28,40,16,30,9,8,1,0,0,82,63,116,35.2,Matches
115,Valentin Antov,BUL,DF,Bologna,Serie A,19,2000,2.6,1,0,0,2,2,0,0,5,3,0,0,0,13,2,5,28.6,Matches
116,Houssem Aouar,FRA,"MF,FW",Lyon,Ligue 1,22,1998,19.8,3,1,0,21,24,3,20,16,11,0,0,0,123,7,16,30.4,Matches
117,Adil Aouchiche,FRA,"MF,FW",Saint-Étienne,Ligue 1,18,2002,19.2,2,0,0,20,31,2,44,7,20,0,0,0,118,15,31,32.6,Matches
118,Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,1992,17.3,3,0,0,16,4,1,41,21,30,0,1,0,167,31,20,60.8,Matches
119,Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,50.0,Matches
120,Mauro Arambarri,URU,MF,Getafe,La Liga,24,1995,33.1,11,0,0,58,74,1,50,54,57,0,0,0,340,55,60,47.8,Matches
121,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,1989,18.5,4,0,0,31,25,0,2,27,29,0,0,0,223,13,23,36.1,Matches
122,Luiz Araújo,BRA,MF,Lille,Ligue 1,24,1996,16.6,5,0,0,24,19,0,25,13,22,0,0,0,129,9,23,28.1,Matches
123,Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,1991,27.0,5,0,0,30,6,0,3,35,16,0,0,0,265,65,37,63.7,Matches
124,Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,16.8,3,0,0,12,18,2,0,15,22,1,1,0,149,54,16,77.1,Matches
125,Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,1987,31.2,8,0,0,38,13,0,30,56,30,0,2,0,441,82,56,59.4,Matches
126,Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36.0,2,0,0,0,5,0,0,0,1,0,0,0,150,0,0,0.0,Matches
127,Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,1992,1.0,0,0,0,1,0,0,0,0,4,0,0,0,12,0,3,0.0,Matches
128,Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,1994,3.3,0,0,0,2,2,0,1,0,0,1,0,0,12,11,41,21.2,Matches
129,Unai Arietaleanizbeaskoa,ESP,"FW,MF",Eibar,La Liga,21,1999,0.5,1,0,0,3,1,2,0,0,0,0,0,0,1,0,2,0.0,Matches
130,Nicolò Armini,ITA,DF,Lazio,Serie A,19,2001,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.0,Matches
131,Stuart Armstrong,SCO,MF,Southampton,Premier League,28,1992,30.7,3,0,0,35,35,4,26,30,41,0,0,0,270,8,23,25.8,Matches
132,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,26,1994,28.7,7,1,0,39,62,0,33,41,42,0,1,0,386,40,34,54.1,Matches
133,Toluwalas Arokodare,NGA,FW,Köln,Bundesliga,19,2000,1.2,0,0,0,1,1,2,0,0,1,0,0,0,7,9,11,45.0,Matches
134,Sergio Arribas,ESP,"FW,DF",Real Madrid,La Liga,18,2001,1.5,1,0,0,1,2,2,1,3,1,0,0,0,13,1,2,33.3,Matches
135,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,1994,6.5,1,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0.0,Matches
136,Tolgay Arslan,GER,MF,Udinese,Serie A,29,1990,20.2,9,0,0,38,47,0,9,21,39,0,1,0,189,13,9,59.1,Matches
137,Kwadwo Asamoah,GHA,"DF,MF",Cagliari,Serie A,31,1988,2.5,0,0,0,0,4,0,4,5,4,0,0,0,21,2,1,66.7,Matches
138,Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,1997,8.5,2,0,0,10,4,0,3,11,15,0,0,0,96,11,13,45.8,Matches
139,Sergio Asenjo,ESP,GK,Villarreal,La Liga,31,1989,36.0,2,0,0,1,2,0,0,0,0,0,1,0,146,0,0,0.0,Matches
140,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,24,1996,20.8,1,0,0,6,28,6,76,15,10,0,0,0,119,10,7,58.8,Matches
141,Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,19,2001,1.1,2,0,0,3,1,0,1,1,1,0,0,0,6,1,2,33.3,Matches
142,Iago Aspas,ESP,FW,Celta Vigo,La Liga,32,1987,31.8,9,0,0,24,53,14,39,17,6,0,1,0,155,20,56,26.3,Matches
143,Roger Assalé,CIV,"FW,MF",Dijon,Ligue 1,26,1993,9.2,0,1,0,12,26,5,5,7,7,1,0,0,39,9,22,29.0,Matches
144,Miguel Atienza,ESP,MF,Eibar,La Liga,21,1999,9.3,1,0,0,10,2,0,3,16,19,0,0,0,91,26,17,60.5,Matches
145,Youcef Attal,ALG,"DF,MF",Nice,Ligue 1,24,1996,10.6,1,0,0,18,26,7,41,26,22,0,0,0,84,10,19,34.5,Matches
146,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,31,1989,25.9,2,0,0,13,18,18,47,6,5,0,0,1,84,31,64,32.6,Matches
147,Emil Audero,ITA,GK,Sampdoria,Serie A,23,1997,37.0,0,0,0,0,6,0,0,0,0,0,0,0,182,0,0,0.0,Matches
148,Tommaso Augello,ITA,DF,Sampdoria,Serie A,25,1994,35.7,2,1,0,13,26,2,118,39,25,0,0,0,314,48,37,56.5,Matches
149,Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,23,1997,0.4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
150,Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,26,1994,21.7,4,0,0,15,26,3,84,14,17,0,1,1,184,49,28,63.6,Matches
151,Serge Aurier,CIV,DF,Tottenham,Premier League,27,1992,17.8,0,0,0,23,15,1,21,24,38,0,1,0,156,39,37,51.3,Matches
152,Charlie Austin,ENG,FW,West Brom,Premier League,31,1989,1.5,0,0,0,0,2,1,1,2,3,0,0,0,6,7,13,35.0,Matches
153,Ezequiel Ávila,ARG,"MF,FW",Osasuna,La Liga,26,1994,2.2,0,0,0,4,5,2,2,1,2,0,0,0,13,3,8,27.3,Matches
154,Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,22,1997,15.1,0,0,0,22,20,15,3,4,6,1,0,0,61,32,86,27.1,Matches
155,Mehmet-Can Aydin,GER,DF,Schalke 04,Bundesliga,18,2002,5.6,0,0,0,9,6,1,11,10,7,0,0,0,38,14,12,53.8,Matches
156,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,28,1991,23.3,4,0,0,45,63,5,18,29,33,0,0,0,132,31,110,22.0,Matches
157,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,25,1994,8.8,3,0,0,8,2,0,3,8,11,0,0,0,53,15,16,48.4,Matches
158,Luke Ayling,ENG,DF,Leeds United,Premier League,28,1991,37.8,7,0,0,29,53,2,70,58,67,0,1,0,404,70,66,51.5,Matches
159,Ramon Azeez,NGA,"MF,DF",Granada,La Liga,27,1992,1.1,0,0,0,1,1,0,1,0,3,0,0,0,12,4,1,80.0,Matches
160,César Azpilicueta,ESP,DF,Chelsea,Premier League,30,1989,24.3,5,1,0,32,14,5,29,37,31,0,0,0,243,58,48,54.7,Matches
161,Ludovic Baal,GUF,DF,Brest,Ligue 1,34,1986,3.3,0,0,0,4,7,0,2,2,4,0,0,0,40,8,7,53.3,Matches
162,Carlos Bacca,COL,FW,Villarreal,La Liga,33,1986,8.7,1,0,0,10,6,6,6,4,7,0,0,0,25,13,21,38.2,Matches
163,Loïc Bade,FRA,DF,Lens,Ligue 1,20,2000,29.0,11,1,1,44,17,1,6,52,38,0,0,0,337,130,65,66.7,Matches
164,Milan Badelj,CRO,MF,Genoa,Serie A,31,1989,26.8,7,0,0,35,32,1,12,91,46,1,0,0,336,18,14,56.3,Matches
165,Édgar Badía,ESP,GK,Elche,La Liga,28,1992,30.0,0,0,0,0,4,0,0,0,0,0,0,0,147,0,0,0.0,Matches
166,Alex Baena,ESP,MF,Villarreal,La Liga,19,2001,1.5,0,0,0,2,4,0,3,3,0,0,0,0,5,0,2,0.0,Matches
167,Miguel Baeza,ESP,"MF,FW",Celta Vigo,La Liga,20,2000,6.0,0,0,0,5,8,4,6,6,5,0,0,0,34,10,10,50.0,Matches
168,Stéphane Bahoken,CMR,FW,Angers,Ligue 1,28,1992,18.0,4,0,0,31,29,19,19,11,13,0,0,0,69,20,62,24.4,Matches
169,Leon Bailey,JAM,"FW,MF",Leverkusen,Bundesliga,22,1997,23.8,6,0,0,24,44,15,91,18,12,0,0,0,188,21,37,36.2,Matches
170,Eric Bailly,CIV,DF,Manchester Utd,Premier League,26,1994,10.2,3,0,0,11,4,0,0,22,6,0,0,0,98,27,17,61.4,Matches
171,Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,18,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,Matches
172,Tiemoué Bakayoko,FRA,MF,Napoli,Serie A,25,1994,21.8,6,1,1,36,52,1,1,28,53,1,0,0,193,44,36,55.0,Matches
173,Mitchel Bakker,NED,DF,Paris S-G,Ligue 1,20,2000,18.8,1,0,0,16,9,3,49,17,28,0,0,0,179,22,18,55.0,Matches
174,Ridle Baku,GER,"FW,DF",Wolfsburg,Bundesliga,22,1998,29.8,1,0,0,32,41,10,88,47,27,0,0,0,247,16,53,23.2,Matches
175,Ridle Baku,GER,DF,Mainz 05,Bundesliga,22,1998,2.0,0,0,0,1,5,0,3,4,2,0,0,0,20,1,1,50.0,Matches
176,Dilane Bakwa,FRA,"FW,MF",Bordeaux,Ligue 1,17,2002,0.6,0,0,0,1,6,0,0,1,2,0,0,0,5,2,1,66.7,Matches
177,Fabián Balbuena,PAR,DF,West Ham,Premier League,28,1991,13.3,1,1,0,12,3,0,0,14,14,0,0,0,114,26,17,60.5,Matches
178,Keita Baldé,SEN,FW,Sampdoria,Serie A,25,1995,13.3,4,1,0,31,35,4,11,3,7,1,1,0,42,19,44,30.2,Matches
179,George Baldock,ENG,DF,Sheffield Utd,Premier League,27,1993,31.0,7,0,0,46,22,10,51,35,27,0,0,0,211,29,35,45.3,Matches
180,Gareth Bale,WAL,FW,Tottenham,Premier League,31,1989,10.2,1,0,0,9,10,5,29,9,9,0,0,0,70,22,11,66.7,Matches
181,Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,32,1988,18.8,0,0,0,17,16,1,27,13,15,0,0,0,150,18,17,51.4,Matches
182,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,21,1999,18.2,6,1,0,31,27,2,1,34,21,0,0,0,157,36,36,50.0,Matches
183,Fodé Ballo-Touré,SEN,DF,Monaco,Ligue 1,23,1997,7.4,2,0,0,10,12,1,26,5,18,1,0,0,57,11,12,47.8,Matches
184,Botond Balogh,HUN,DF,Parma,Serie A,18,2002,1.8,1,0,0,1,0,0,0,1,3,0,0,0,10,2,3,40.0,Matches
185,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,30,1990,15.0,2,0,0,14,7,0,37,18,17,0,1,0,120,10,11,47.6,Matches
186,Jonathan Bamba,FRA,MF,Lille,Ligue 1,24,1996,33.2,2,0,0,28,67,3,62,28,32,1,0,0,269,15,35,30.0,Matches
187,Robson Bambu,BRA,DF,Nice,Ligue 1,22,1997,11.6,3,1,0,20,10,1,0,12,13,0,0,0,114,16,23,41.0,Matches
188,Patrick Bamford,ENG,FW,Leeds United,Premier League,26,1993,33.9,3,0,0,36,23,18,5,13,18,3,0,0,93,54,81,40.0,Matches
189,Mattia Bani,ITA,DF,Genoa,Serie A,26,1993,10.2,4,0,0,13,8,1,0,18,8,0,0,0,115,40,25,61.5,Matches
