Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1775,Johan Mojica,COL,DF,Elche,La Liga,27,1992,13.4,519,708,73.3,9655,4870,229,264,86.7,213,265,80.4,69,150,46.0,0,0.7,-0.7,10,30,14,10,44,Matches
1776,Johan Mojica,COL,"DF,FW",Atalanta,Serie A,27,1992,3.3,182,227,80.2,2950,874,89,101,88.1,74,87,85.1,14,26,53.8,0,0.3,-0.3,3,12,5,3,16,Matches
1777,Guillem Molina,ESP,DF,Valencia,La Liga,20,2000,1.7,56,70,80.0,1012,301,22,26,84.6,32,38,84.2,2,4,50.0,0,0.0,0.0,0,0,0,0,1,Matches
1778,Jorge Molina,ESP,"FW,MF",Granada,La Liga,38,1982,17.9,294,471,62.4,4509,1329,178,243,73.3,87,149,58.4,22,38,57.9,2,2.2,-0.2,21,36,17,1,51,Matches
1779,Nahuel Molina,ARG,DF,Udinese,Serie A,22,1997,20.3,782,1009,77.5,12500,4811,437,488,89.5,259,335,77.3,69,142,48.6,5,2.5,2.5,22,35,21,14,81,Matches
1780,Salvatore Molina,ITA,"MF,DF",Crotone,Serie A,28,1992,25.7,851,1091,78.0,16123,4895,368,424,86.8,362,426,85.0,109,197,55.3,4,2.7,1.3,24,52,34,14,93,Matches
1781,Victor Mollejo,ESP,"MF,DF",Getafe,La Liga,19,2001,0.8,24,34,70.6,322,75,16,18,88.9,7,13,53.8,1,1,100.0,0,0.1,-0.1,2,1,0,0,1,Matches
1782,Florent Mollet,FRA,MF,Montpellier,Ligue 1,28,1991,26.2,1055,1267,83.3,19966,4815,453,502,90.2,418,469,89.1,157,247,63.6,5,3.4,1.6,38,91,22,2,101,Matches
1783,Jayson Molumby,IRL,MF,Brighton,Premier League,20,1999,0.0,0,1,0.0,0,0,0,0,0.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1784,Alkhaly Momo Cissé,GUI,"DF,FW",Stuttgart,Bundesliga,17,2002,0.4,13,18,72.2,194,35,5,7,71.4,6,6,100.0,0,1,0.0,0,0.0,0.0,1,1,0,0,1,Matches
1785,Jon Moncayola,ESP,MF,Osasuna,La Liga,22,1998,29.6,935,1141,81.9,19875,4665,326,374,87.2,423,492,86.0,176,246,71.5,0,1.3,-1.3,16,94,13,5,77,Matches
1786,Gabriele Moncini,ITA,FW,Benevento,Serie A,24,1996,4.0,52,85,61.2,761,126,29,47,61.7,17,24,70.8,3,6,50.0,0,0.1,-0.1,2,5,0,0,5,Matches
1787,Thomas Monconduit,FRA,MF,Lorient,Ligue 1,29,1991,12.8,542,679,79.8,10811,3179,208,243,85.6,248,276,89.9,81,135,60.0,0,1.2,-1.2,12,60,9,2,76,Matches
1788,Kévin Monnet-Paquet,FRA,"MF,FW",Saint-Étienne,Ligue 1,31,1988,6.3,151,224,67.4,2035,600,98,122,80.3,40,57,70.2,7,15,46.7,0,0.3,-0.3,4,5,3,1,9,Matches
1789,Nacho Monreal,ESP,DF,Real Sociedad,La Liga,34,1986,23.1,981,1212,80.9,16601,6468,478,532,89.8,417,485,86.0,71,144,49.3,1,1.2,-0.2,10,41,14,4,60,Matches
1790,Cristóbal Montiel Rodríguez,ESP,"DF,FW",Fiorentina,Serie A,20,2000,0.0,2,3,66.7,55,1,0,0,0.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1791,Lorenzo Montipò,ITA,GK,Benevento,Serie A,24,1996,37.0,786,1236,63.6,25590,14961,122,122,100.0,290,296,98.0,368,810,45.4,0,0.0,0.0,0,5,0,0,2,Matches
1792,Ángel Montoro,ESP,MF,Granada,La Liga,32,1988,15.1,518,745,69.5,12790,4186,163,200,81.5,209,259,80.7,141,255,55.3,1,1.6,-0.6,22,78,19,8,71,Matches
1793,Martín Montoya,ESP,DF,Betis,La Liga,29,1991,2.7,125,163,76.7,1984,606,72,81,88.9,39,54,72.2,11,19,57.9,0,0.3,-0.3,4,9,2,2,10,Matches
1794,Emre Mor,TUR,"FW,MF",Celta Vigo,La Liga,23,1997,5.6,95,124,76.6,1509,242,53,66,80.3,32,38,84.2,8,14,57.1,0,0.2,-0.2,2,5,3,1,5,Matches
1795,Luca Mora,ITA,MF,Spezia,Serie A,32,1988,1.3,41,60,68.3,672,145,20,25,80.0,19,25,76.0,2,9,22.2,0,0.0,0.0,0,4,0,0,4,Matches
1796,Wesley Moraes,BRA,"MF,FW",Aston Villa,Premier League,23,1996,0.2,4,4,100.0,30,0,3,3,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1797,Álvaro Morata,ESP,FW,Juventus,Serie A,27,1992,22.4,458,612,74.8,7744,1289,222,288,77.1,174,214,81.3,45,68,66.2,9,4.8,4.2,40,30,25,4,49,Matches
1798,Jan Morávek,CZE,MF,Augsburg,Bundesliga,30,1989,3.0,98,144,68.1,1617,386,46,65,70.8,33,44,75.0,12,20,60.0,0,0.0,0.0,1,10,0,0,9,Matches
1799,Jon Morcillo,ESP,"MF,FW",Athletic Club,La Liga,21,1998,15.1,319,518,61.6,6129,2356,143,180,79.4,124,178,69.7,47,131,35.9,2,2.9,-0.9,25,20,18,9,45,Matches
1800,Jérémy Morel,MAD,DF,Lorient,Ligue 1,36,1984,27.7,1072,1266,84.7,21869,8440,360,393,91.6,517,580,89.1,181,252,71.8,0,0.3,-0.3,7,43,2,0,63,Matches
1801,Alberto Moreno,ESP,DF,Villarreal,La Liga,28,1992,2.1,84,100,84.0,1482,380,44,48,91.7,31,32,96.9,9,17,52.9,0,0.0,0.0,0,4,1,0,3,Matches
1802,Álex Moreno,ESP,DF,Betis,La Liga,27,1993,19.8,907,1159,78.3,14873,5343,467,517,90.3,351,430,81.6,68,158,43.0,2,2.1,-0.1,17,42,16,8,52,Matches
1803,Gerard Moreno,ESP,"FW,MF",Villarreal,La Liga,28,1992,29.7,771,1122,68.7,14613,3527,341,449,75.9,292,403,72.5,122,189,64.6,7,7.6,-0.6,43,78,46,9,110,Matches
1804,Tete Morente,ESP,"MF,FW",Elche,La Liga,23,1996,22.4,557,742,75.1,9323,2299,304,344,88.4,183,228,80.3,54,110,49.1,5,2.4,2.6,15,26,21,12,37,Matches
1805,Mateu Morey,ESP,DF,Dortmund,Bundesliga,20,2000,9.2,629,747,84.2,11653,3181,288,318,90.6,244,286,85.3,90,126,71.4,2,0.6,1.4,7,35,14,5,48,Matches
1806,Wes Morgan,JAM,DF,Leicester City,Premier League,36,1984,0.2,5,5,100.0,93,78,2,2,100.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,2,Matches
1807,Raúl Moro,ESP,MF,Lazio,Serie A,17,2002,0.1,0,1,0.0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1808,Loren Morón,ESP,"FW,MF",Betis,La Liga,26,1993,11.0,136,194,70.1,2170,648,81,97,83.5,33,58,56.9,16,25,64.0,0,0.4,-0.4,6,14,4,1,21,Matches
1809,Pedro Mosquera,ESP,MF,Huesca,La Liga,32,1988,22.8,1040,1211,85.9,21105,5356,404,447,90.4,450,499,90.2,174,238,73.1,0,0.6,-0.6,14,95,10,1,91,Matches
1810,Aimen Moueffek,FRA,"DF,MF",Saint-Étienne,Ligue 1,19,2001,8.3,277,373,74.3,4957,1692,125,151,82.8,116,148,78.4,32,57,56.1,0,0.4,-0.4,8,13,5,0,28,Matches
1811,Youssoufa Moukoko,GER,"FW,MF",Dortmund,Bundesliga,15,2004,4.7,60,78,76.9,845,123,33,40,82.5,15,23,65.2,5,6,83.3,0,0.7,-0.7,1,2,1,0,3,Matches
1812,Harold Moukoudi,CMR,DF,Saint-Étienne,Ligue 1,22,1997,25.3,1027,1134,90.6,23279,6409,259,275,94.2,527,561,93.9,230,277,83.0,1,0.7,0.3,6,48,0,0,55,Matches
1813,Jessy Moulin,FRA,GK,Saint-Étienne,Ligue 1,34,1986,29.0,634,881,72.0,19353,11314,80,81,98.8,283,287,98.6,268,510,52.5,0,0.0,0.0,0,8,0,0,0,Matches
1814,Steve Mounié,BEN,FW,Brest,Ligue 1,25,1994,29.8,460,757,60.8,6761,1424,261,390,66.9,141,252,56.0,29,48,60.4,4,2.5,1.5,21,36,15,2,43,Matches
1815,Mason Mount,ENG,"MF,FW",Chelsea,Premier League,21,1999,32.1,1548,1881,82.3,27434,7401,763,849,89.9,541,626,86.4,199,301,66.1,5,7.8,-2.8,90,144,58,7,182,Matches
1816,Lucas Moura,BRA,"FW,MF",Tottenham,Premier League,27,1992,15.7,448,600,74.7,6841,1695,254,310,81.9,159,194,82.0,23,58,39.7,4,2.3,1.7,16,30,14,3,47,Matches
1817,Lys Mousset,FRA,"FW,MF",Sheffield Utd,Premier League,24,1996,3.3,40,50,80.0,671,93,21,27,77.8,15,18,83.3,2,3,66.7,0,0.3,-0.3,3,5,0,0,3,Matches
1818,João Moutinho,POR,MF,Wolves,Premier League,33,1986,28.1,1540,1817,84.8,30712,7295,537,586,91.6,718,787,91.2,253,382,66.2,1,2.6,-1.6,47,117,19,6,123,Matches
1819,Samuel Moutoussamy,COD,FW,Nantes,Ligue 1,23,1996,0.9,26,30,86.7,461,33,8,8,100.0,16,20,80.0,1,1,100.0,0,0.0,0.0,0,2,0,0,0,Matches
1820,Loris Mouyokolo,CGO,DF,Lorient,Ligue 1,19,2001,0.2,3,6,50.0,77,0,1,1,100.0,1,2,50.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0,Matches
1821,Javi Moyano,ESP,DF,Valladolid,La Liga,34,1986,1.1,28,41,68.3,585,248,10,15,66.7,14,16,87.5,4,9,44.4,0,0.0,0.0,0,1,0,0,4,Matches
1822,Nordi Mukiele,FRA,DF,RB Leipzig,Bundesliga,22,1997,18.6,891,1144,77.9,16725,6573,381,461,82.6,388,464,83.6,114,167,68.3,1,1.5,-0.5,10,60,17,6,96,Matches
1823,Benoît Mukinayi,FRA,DF,Monaco,Ligue 1,19,2001,31.9,2112,2389,88.4,48776,15019,472,516,91.5,1193,1278,93.3,438,576,76.0,1,0.7,0.3,4,194,5,0,161,Matches
1824,Mert Müldür,TUR,DF,Sassuolo,Serie A,21,1999,18.6,817,1024,79.8,13896,4404,397,459,86.5,347,421,82.4,62,105,59.0,0,0.5,-0.5,7,47,17,6,69,Matches
1825,Florian Müller,GER,GK,Freiburg,Bundesliga,22,1997,31.0,914,1338,68.3,27516,17236,130,130,100.0,481,487,98.8,300,715,42.0,0,0.0,0.0,1,22,3,0,0,Matches
1826,Sebastian Müller,GER,"MF,DF",Arminia,Bundesliga,19,2001,0.0,0,1,0.0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1827,Thomas Müller,GER,MF,Bayern Munich,Bundesliga,30,1989,29.7,1133,1529,74.1,19543,5229,557,695,80.1,430,553,77.8,112,179,62.6,19,11.5,7.5,90,95,62,21,133,Matches
1828,Joel Mumbongo,SWE,FW,Burnley,Premier League,21,1999,0.4,5,6,83.3,52,0,4,4,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1829,Marshall Munetsi,ZIM,"MF,DF",Reims,Ligue 1,24,1996,21.4,726,858,84.6,15355,3101,219,244,89.8,357,404,88.4,136,190,71.6,0,0.2,-0.2,8,43,5,2,42,Matches
1830,Iker Muniain,ESP,"MF,FW",Athletic Club,La Liga,27,1992,21.6,860,1051,81.8,14991,4461,431,475,90.7,306,371,82.5,105,164,64.0,3,3.0,0.0,36,93,42,4,117,Matches
1831,Aihen Muñoz,ESP,DF,Real Sociedad,La Liga,22,1997,13.4,510,748,68.2,10133,4237,188,220,85.5,243,324,75.0,73,173,42.2,1,0.6,0.4,7,36,12,7,40,Matches
1832,Joaquín Muñoz,ESP,FW,Huesca,La Liga,21,1999,0.5,12,19,63.2,146,33,8,13,61.5,4,5,80.0,0,0,0.0,0,0.0,0.0,1,1,0,0,0,Matches
1833,Luis Muriel,COL,FW,Atalanta,Serie A,29,1991,16.0,510,724,70.4,8418,2226,268,315,85.1,180,246,73.2,48,113,42.5,7,4.7,2.3,45,38,35,4,75,Matches
1834,Jeison Murillo,COL,DF,Celta Vigo,La Liga,28,1992,30.0,1427,1586,90.0,33639,8095,269,294,91.5,817,871,93.8,332,406,81.8,0,0.2,-0.2,2,49,2,0,43,Matches
1835,Vedat Muriqi,KVX,FW,Lazio,Serie A,26,1994,9.2,177,251,70.5,2636,394,106,144,73.6,51,68,75.0,12,20,60.0,0,0.3,-0.3,5,12,5,0,19,Matches
1836,Jacob Murphy,ENG,"DF,MF",Newcastle Utd,Premier League,25,1995,18.1,416,608,68.4,7545,3364,188,224,83.9,159,220,72.3,59,128,46.1,3,2.2,0.8,18,26,28,10,44,Matches
1837,Nicola Murru,ITA,DF,Torino,Serie A,25,1994,6.3,237,351,67.5,4268,1700,107,122,87.7,102,136,75.0,25,77,32.5,0,0.1,-0.1,2,18,7,4,21,Matches
1838,Petar Musa,CRO,FW,Union Berlin,Bundesliga,22,1998,7.9,123,218,56.4,1585,323,82,133,61.7,31,61,50.8,3,10,30.0,3,0.8,2.2,8,5,3,0,12,Matches
1839,Mateo Musacchio,ARG,DF,Lazio,Serie A,29,1990,2.5,103,116,88.8,2082,448,35,36,97.2,46,50,92.0,20,26,76.9,0,0.0,0.0,0,9,0,0,4,Matches
1840,Mateo Musacchio,ARG,DF,Milan,Serie A,29,1990,0.4,21,22,95.5,420,203,10,10,100.0,7,7,100.0,4,5,80.0,0,0.0,0.0,0,3,0,0,3,Matches
1841,Yunus Musah,USA,MF,Valencia,La Liga,17,2002,17.0,331,443,74.7,5194,872,185,221,83.7,114,153,74.5,21,40,52.5,0,0.8,-0.8,9,10,13,3,17,Matches
1842,Jamal Musiala,GER,"FW,MF",Bayern Munich,Bundesliga,17,2003,9.8,369,435,84.8,5638,1157,190,216,88.0,135,158,85.4,24,30,80.0,1,0.9,0.1,9,24,13,1,38,Matches
1843,Juan Musso,ARG,GK,Udinese,Serie A,26,1994,35.0,769,1024,75.1,22348,13378,158,159,99.4,322,327,98.5,274,523,52.4,0,0.0,0.0,0,6,0,0,0,Matches
1844,Shkodran Mustafi,GER,DF,Arsenal,Premier League,28,1992,0.5,41,48,85.4,1100,210,2,2,100.0,31,34,91.2,8,12,66.7,0,0.0,0.0,0,2,0,0,4,Matches
1845,Shkodran Mustafi,GER,DF,Schalke 04,Bundesliga,28,1992,11.5,447,560,79.8,10947,3703,85,98,86.7,246,281,87.5,113,173,65.3,0,0.0,0.0,1,33,1,0,35,Matches
1846,Yoshinori Mutō,JPN,"FW,MF",Eibar,La Liga,28,1992,12.5,163,241,67.6,2121,481,104,137,75.9,47,68,69.1,5,12,41.7,1,1.1,-0.1,11,9,3,0,14,Matches
1847,Phillipp Mwene,AUT,DF,Mainz 05,Bundesliga,26,1994,18.6,375,590,63.6,7118,3425,171,204,83.8,129,202,63.9,63,131,48.1,2,1.4,0.6,18,24,26,9,48,Matches
1848,Joakim Mæhle,DEN,DF,Atalanta,Serie A,23,1997,13.5,592,730,81.1,9199,4101,327,369,88.6,233,288,80.9,24,50,48.0,2,1.5,0.5,15,31,20,10,78,Matches
1849,Obite N'Dicka,FRA,DF,Eint Frankfurt,Bundesliga,20,1999,22.7,1139,1331,85.6,20173,7579,516,554,93.1,493,565,87.3,115,168,68.5,1,0.3,0.7,5,70,4,1,82,Matches
1850,Kévin N'Doram,FRA,MF,Metz,Ligue 1,24,1996,3.4,112,129,86.8,2526,572,36,41,87.8,51,59,86.4,24,26,92.3,0,0.0,0.0,1,9,0,0,10,Matches
1851,Stanley N'Soki,FRA,DF,Nice,Ligue 1,21,1999,13.8,891,1027,86.8,16863,5970,334,366,91.3,446,500,89.2,102,140,72.9,0,0.1,-0.1,3,64,3,3,76,Matches
1852,Nacho,ESP,DF,Real Madrid,La Liga,30,1990,22.2,1124,1239,90.7,22045,7236,428,455,94.1,516,542,95.2,167,218,76.6,0,0.4,-0.4,4,72,4,1,55,Matches
1853,Nacho,ESP,DF,Valladolid,La Liga,31,1989,20.1,760,1053,72.2,14932,6919,304,343,88.6,349,431,81.0,97,231,42.0,1,1.6,-0.6,23,65,18,8,70,Matches
1854,Yuto Nagatomo,JPN,DF,Marseille,Ligue 1,33,1986,17.7,649,802,80.9,9921,3521,359,399,90.0,240,283,84.8,36,85,42.4,1,0.4,0.6,4,27,10,5,35,Matches
1855,Kenny Nagera,FRA,FW,Paris S-G,Ligue 1,18,2002,0.0,3,3,100.0,54,6,1,1,100.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1,Matches
1856,Radja Nainggolan,BEL,MF,Cagliari,Serie A,32,1988,20.5,636,837,76.0,14072,3153,213,269,79.2,271,329,82.4,144,204,70.6,0,1.7,-1.7,22,69,26,15,57,Matches
1857,Radja Nainggolan,BEL,MF,Inter,Serie A,32,1988,0.5,33,38,86.8,569,103,17,19,89.5,13,14,92.9,2,3,66.7,0,0.0,0.0,0,5,0,0,1,Matches
1858,Marvelous Nakamba,ZIM,MF,Aston Villa,Premier League,26,1994,8.3,234,273,85.7,4243,950,99,112,88.4,99,111,89.2,30,43,69.8,0,0.0,0.0,1,16,0,0,9,Matches
1859,Nahitan Nández,URU,"MF,DF",Cagliari,Serie A,24,1995,30.4,932,1235,75.5,16002,5253,460,531,86.6,373,476,78.4,80,165,48.5,2,3.7,-1.7,32,54,43,21,74,Matches
1860,Nano,ESP,"FW,MF",Cádiz,La Liga,25,1995,0.1,1,3,33.3,21,3,0,2,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1861,Paul Nardi,FRA,GK,Lorient,Ligue 1,26,1994,23.0,392,639,61.3,12390,8336,72,72,100.0,153,155,98.7,162,407,39.8,0,0.1,-0.1,1,7,1,0,0,Matches
1862,Matija Nastasić,SRB,DF,Schalke 04,Bundesliga,27,1993,13.6,594,679,87.5,14049,3895,133,142,93.7,312,336,92.9,145,196,74.0,0,0.0,0.0,0,22,0,0,20,Matches
1863,Roberto Navarro,ESP,MF,Real Sociedad,La Liga,18,2002,0.4,17,22,77.3,283,83,10,10,100.0,5,6,83.3,2,5,40.0,0,0.0,0.0,1,1,0,0,3,Matches
1864,Ximo Navarro,ESP,DF,Alavés,La Liga,30,1990,26.4,810,1056,76.7,16052,6372,285,344,82.8,388,480,80.8,122,194,62.9,1,1.0,0.0,10,49,10,6,59,Matches
1865,Jesús Navas,ESP,DF,Sevilla,La Liga,34,1985,31.4,1676,2102,79.7,30805,9475,765,837,91.4,667,802,83.2,218,373,58.4,6,5.3,0.7,63,84,84,40,147,Matches
1866,Keylor Navas,CRC,GK,Paris S-G,Ligue 1,33,1986,28.0,650,745,87.2,16976,9744,127,127,100.0,326,327,99.7,193,286,67.5,0,0.3,-0.3,1,0,0,0,0,Matches
1867,Raúl Navas,ESP,DF,Osasuna,La Liga,32,1988,1.9,45,58,77.6,1119,454,14,16,87.5,16,18,88.9,14,23,60.9,0,0.0,0.0,1,3,0,0,5,Matches
1868,Papa Ndiaga Yade,SEN,"FW,MF",Metz,Ligue 1,20,2000,11.1,197,286,68.9,3284,966,113,139,81.3,63,86,73.3,17,43,39.5,4,2.0,2.0,22,10,11,5,19,Matches
1869,Iliman Ndiaye,FRA,MF,Sheffield Utd,Premier League,21,1999,0.1,3,3,100.0,35,16,1,1,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,Matches
1870,Wilfred Ndidi,NGA,"MF,DF",Leicester City,Premier League,23,1996,24.2,1201,1363,88.1,22396,4643,485,546,88.8,529,565,93.6,161,206,78.2,4,1.5,2.5,15,80,4,0,57,Matches
1871,Bridge Ndilu,FRA,"FW,MF",Nantes,Ligue 1,20,2000,0.5,13,21,61.9,196,34,6,10,60.0,7,9,77.8,0,2,0.0,0,0.1,-0.1,1,1,1,0,2,Matches
1872,Tanguy Ndombele,FRA,MF,Tottenham,Premier League,23,1996,23.2,994,1165,85.3,15903,4088,527,588,89.6,345,404,85.4,81,110,73.6,2,2.4,-0.4,16,91,22,0,101,Matches
1873,Dan Ndoye,SUI,"FW,MF",Nice,Ligue 1,19,2000,6.1,131,178,73.6,1891,289,79,94,84.0,39,54,72.2,6,11,54.5,1,0.1,0.9,2,4,2,0,7,Matches
1874,Paul Nebel,GER,MF,Mainz 05,Bundesliga,17,2002,0.6,22,28,78.6,418,97,10,13,76.9,9,10,90.0,3,4,75.0,0,0.0,0.0,0,3,1,0,2,Matches
1875,Álvaro Negredo,ESP,FW,Cádiz,La Liga,34,1985,24.4,332,572,58.0,5483,1187,187,277,67.5,86,161,53.4,43,87,49.4,4,3.6,0.4,18,36,14,0,35,Matches
1876,Reiss Nelson,ENG,FW,Arsenal,Premier League,20,1999,0.8,17,30,56.7,319,94,9,9,100.0,6,9,66.7,2,9,22.2,0,0.0,0.0,0,2,1,0,2,Matches
1877,Ilija Nestorovski,MKD,FW,Udinese,Serie A,30,1990,7.8,148,197,75.1,2324,464,89,102,87.3,35,56,62.5,16,25,64.0,2,1.4,0.6,14,12,4,1,12,Matches
1878,Neto,BRA,GK,Barcelona,La Liga,31,1989,7.0,210,239,87.9,4742,2390,54,54,100.0,105,106,99.1,48,75,64.0,0,0.0,0.0,0,1,0,0,0,Matches
1879,Pedro Neto,POR,"FW,MF",Wolves,Premier League,20,2000,28.3,955,1212,78.8,15501,3302,512,560,91.4,317,390,81.3,92,185,49.7,6,6.2,-0.2,60,34,39,24,53,Matches
1880,Luca Netz,GER,DF,Hertha BSC,Bundesliga,17,2003,3.4,131,169,77.5,2321,664,48,58,82.8,69,76,90.8,10,27,37.0,0,0.1,-0.1,2,6,2,1,12,Matches
1881,Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,34,1986,33.0,1136,1316,86.3,32256,17743,175,177,98.9,519,523,99.2,438,609,71.9,0,0.2,-0.2,1,7,0,0,4,Matches
1882,Florian Neuhaus,GER,MF,M'Gladbach,Bundesliga,23,1997,29.1,1477,1767,83.6,29002,8841,584,653,89.4,662,760,87.1,212,304,69.7,5,2.3,2.7,21,141,31,1,177,Matches
1883,Carlos Neva,ESP,DF,Granada,La Liga,24,1996,20.0,442,621,71.2,7941,3516,190,210,90.5,206,277,74.4,40,90,44.4,0,0.1,-0.1,5,27,6,5,22,Matches
1884,Rúben Neves,POR,MF,Wolves,Premier League,23,1997,29.7,1633,1937,84.3,38492,8615,419,476,88.0,800,888,90.1,406,537,75.6,1,2.1,-1.1,32,203,21,2,140,Matches
1885,Neymar,BRA,"MF,FW",Paris S-G,Ligue 1,28,1992,15.7,776,998,77.8,13096,4542,414,477,86.8,259,325,79.7,87,153,56.9,5,7.2,-2.2,54,98,58,4,133,Matches
1886,Yvan Neyou,CMR,MF,Saint-Étienne,Ligue 1,23,1997,27.1,1131,1300,87.0,20535,4358,508,564,90.1,462,520,88.8,136,183,74.3,2,1.9,0.1,15,88,8,2,72,Matches
1887,Jessic Ngankam,GER,FW,Hertha BSC,Bundesliga,20,2000,3.3,40,53,75.5,643,92,18,23,78.3,15,21,71.4,5,5,100.0,0,0.0,0.0,1,2,0,0,2,Matches
1888,Muzinga Ngonda,COD,DF,Dijon,Ligue 1,25,1994,25.6,1217,1671,72.8,22132,9946,544,621,87.6,525,676,77.7,133,289,46.0,0,1.1,-1.1,18,87,34,10,139,Matches
1889,Ahmad Ngouyamsa,CMR,DF,Dijon,Ligue 1,19,2000,1.7,66,93,71.0,1268,380,27,30,90.0,25,30,83.3,13,31,41.9,0,0.0,0.0,0,2,0,0,1,Matches
1890,Opa Nguette,SEN,"FW,MF",Metz,Ligue 1,26,1994,12.6,204,280,72.9,3000,561,126,154,81.8,62,91,68.1,11,23,47.8,1,1.0,0.0,12,15,5,1,16,Matches
1891,Moussa Niakhate,FRA,DF,Mainz 05,Bundesliga,24,1996,31.8,1131,1528,74.0,24796,10864,319,371,86.0,592,730,81.1,213,387,55.0,1,2.0,-1.0,15,97,13,4,112,Matches
1892,Ibrahima Niane,SEN,FW,Metz,Ligue 1,21,1999,7.4,112,153,73.2,1717,297,63,84,75.0,35,47,74.5,7,11,63.6,0,0.2,-0.2,2,6,3,1,8,Matches
1893,M'Baye Niang,SEN,FW,Rennes,Ligue 1,25,1994,4.7,57,84,67.9,739,67,40,52,76.9,13,18,72.2,3,4,75.0,0,0.0,0.0,0,3,0,0,1,Matches
1894,Mamor Niang,SEN,"FW,MF",Getafe,La Liga,18,2002,0.2,4,5,80.0,36,1,4,4,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1895,Florian Niederlechner,GER,FW,Augsburg,Bundesliga,29,1990,19.3,229,325,70.5,4030,770,104,137,75.9,84,111,75.7,30,46,65.2,4,3.0,1.0,13,16,9,1,24,Matches
1896,Nieto,ESP,"FW,MF",Cádiz,La Liga,22,1998,0.2,5,6,83.3,75,14,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1897,Saúl Ñíguez,ESP,"MF,DF",Atlético Madrid,La Liga,25,1994,22.6,995,1189,83.7,15777,3923,525,592,88.7,368,441,83.4,70,99,70.7,1,2.0,-1.0,25,69,25,4,73,Matches
1898,Joakim Nilsson,SWE,DF,Arminia,Bundesliga,26,1994,24.0,892,1058,84.3,20000,5795,220,246,89.4,490,542,90.4,178,256,69.5,0,0.1,-0.1,2,33,1,1,43,Matches
1899,Casimir Ninga,CHA,FW,Angers,Ligue 1,27,1993,0.3,7,9,77.8,150,57,4,5,80.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,1,2,0,3,Matches
1900,Nino,ESP,"FW,MF",Elche,La Liga,40,1980,3.2,107,123,87.0,1690,236,64,69,92.8,31,35,88.6,10,15,66.7,0,0.8,-0.8,2,8,1,0,6,Matches
1901,Fernando Niño,ESP,FW,Villarreal,La Liga,19,2000,6.6,99,131,75.6,1476,192,52,64,81.3,31,37,83.8,7,10,70.0,0,0.2,-0.2,4,4,4,0,6,Matches
1902,Eddie Nketiah,ENG,FW,Arsenal,Premier League,21,1999,4.7,73,89,82.0,1014,102,48,59,81.4,20,24,83.3,3,3,100.0,1,0.8,0.2,5,3,2,0,3,Matches
1903,Nicolas Nkoulou,CMR,DF,Torino,Serie A,30,1990,15.1,610,701,87.0,13250,3584,173,186,93.0,327,348,94.0,106,159,66.7,0,0.1,-0.1,2,23,1,0,20,Matches
1904,Niels Nkounkou,FRA,"DF,FW",Everton,Premier League,19,2000,0.9,27,34,79.4,480,107,15,15,100.0,8,10,80.0,4,8,50.0,0,0.0,0.0,0,3,0,0,2,Matches
1905,Christopher Nkunku,FRA,"FW,MF",RB Leipzig,Bundesliga,22,1997,21.0,787,1011,77.8,12223,4047,448,502,89.2,230,284,81.0,77,166,46.4,6,7.5,-1.5,71,41,41,5,77,Matches
1906,Dan Nlundulu,ENG,FW,Southampton,Premier League,21,1999,1.2,22,33,66.7,398,55,10,16,62.5,11,12,91.7,1,1,100.0,0,0.0,0.0,1,3,1,0,2,Matches
1907,Mark Noble,ENG,MF,West Ham,Premier League,33,1987,7.9,374,429,87.2,7323,1739,147,162,90.7,161,175,92.0,61,76,80.3,0,0.2,-0.2,5,41,6,3,25,Matches
1908,Nolito,ESP,"MF,FW",Celta Vigo,La Liga,33,1986,28.9,739,1005,73.5,13490,4386,342,409,83.6,284,367,77.4,100,182,54.9,5,5.8,-0.8,34,63,40,3,121,Matches
